"Country Name","Country Code","Year","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","GINI index (World Bank estimate)","Income share held by fourth 20%","Income share held by highest 10%","Income share held by highest 20%","Income share held by lowest 10%","Income share held by lowest 20%","Income share held by second 20%","Income share held by third 20%","Population living in slums (% of urban population)","Poverty gap at $1.90 a day (2011 PPP) (%)","Poverty gap at $3.20 a day (2011 PPP) (%)","Poverty gap at $5.50 a day (2011 PPP) (%)","Poverty gap at national poverty lines (%)","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Rural poverty gap at national poverty lines (%)","Rural poverty headcount ratio at national poverty lines (% of rural population)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)","Survey mean consumption or income per capita, total population (2011 PPP $ per day)","Urban poverty gap at national poverty lines (%)","Urban poverty headcount ratio at national poverty lines (% of urban population)"
"Bolivia","BOL","2016","1.67","1.06","44.6","22.8","32.1","49","1.1","3.9","9.5","14.9","0","3","5.7","11.2","0","7.1","12.6","25","39.5","0","0","4.42","13.24","0","0"
"Central African Republic","CAF","1995","0","0","0","0","0","0","0","0","0","0","89.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Asia & Pacific","EAS","2015","0","0","0","0","0","0","0","0","0","0","0","0.5","3.1","11.7","0","2.3","12.5","34.9","0","0","0","0","0","0","0"
"Honduras","HND","2008","0","0","55.5","19.7","43","59.2","0.9","2.7","6.7","11.7","0","6.6","13.5","24.8","46.9","16.5","30.3","49.9","59.2","49","63.1","0","0","44.3","55.2"
"Iraq","IRQ","2007","0","0","0","0","0","0","0","0","0","0","52.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Latvia","LVA","2013","0","0","35.5","22.6","26.8","42.6","2.3","6.5","12.2","16.2","0","0.6","1.1","2.4","0","1.2","2.5","6","21.2","0","0","0","0","0","0"
"South Sudan","SSD","2009","0","0","46.3","22.8","33.2","50.6","1.3","3.9","8.6","14.2","0","18.9","33.3","51.3","23.7","42.7","64.8","84.8","50.6","26.5","55.4","0","0","8.8","24.4"
"Argentina","ARG","2003","0","0","50.7","21.9","37.1","54.5","1","3.2","7.6","12.9","0","2.7","6.1","13.2","0","7","15.5","30.3","0","0","0","0","0","0","47.8"
"Bulgaria","BGR","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.9","0","0","0","0","0","0"
"Bhutan","BTN","2007","0","0","38.1","22.1","29.4","45.1","2.7","6.7","10.8","15.3","0","1.6","8.7","24.8","6.1","8","30.5","61.3","23.2","8.1","30.9","0","0","0.4","1.7"
"Botswana","BWA","2002","0","0","64.7","15.8","53.1","69.5","0.8","2.3","4.6","7.8","0","11.4","23.5","38.6","11.7","29.8","50.2","66.7","30.6","18.4","44.8","0","0","6.5","19.4"
"Congo, Dem. Rep.","COD","2009","0","0","0","0","0","0","0","0","0","0","61.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominican Republic","DOM","2002","0","0","50","20.5","38.5","54.6","1.3","3.7","8.2","12.9","0","2","5.4","12.8","0","6","14.6","31.6","32.8","0","47.2","0","0","0","24.9"
"Europe & Central Asia","ECS","2015","0","0","0","0","0","0","0","0","0","0","0","0.4","1.6","4.9","0","1.5","5.4","14","0","0","0","0","0","0","0"
"IDA blend","IDB","2005","0","0","0","0","0","0","0","0","0","0","54.7102706263714","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamaica","JAM","2002","0","0","48.3","20","38","54.2","1.8","4.8","8.4","12.6","0","0.7","3.1","11.3","0","2.8","11.4","33.7","19.7","0","25.1","0","0","0","10.6"
"Latin America & Caribbean","LCN","1996","0","0","0","0","0","0","0","0","0","0","0","6","12","23","0","13.8","27.7","48.2","0","0","0","0","0","0","0"
"Lithuania","LTU","2007","0","0","34.8","22.4","26.7","42","2.4","6.8","12.4","16.4","0","0.8","1.1","1.9","0","1.2","2","4.6","20.9","0","0","0","0","0","0"
"Panama","PAN","1991","0","0","58.2","20.8","42.5","60.6","0.1","1.2","5.9","11.5","0","14","19","27.8","0","21.9","31.4","48.3","0","0","0","0","0","0","0"
"Russian Federation","RUS","2010","0","0","39.5","21.6","30.6","46.6","2.5","6.4","10.5","14.8","0","0","0.1","0.8","1.2","0.1","0.5","4","12.5","0","0","9.29","21.84","0","0"
"Russian Federation","RUS","1998","0","0","38.1","22.6","28.6","44.6","2.4","6.2","10.9","15.7","0","0.4","2","8.1","0","1.7","7.9","26.2","0","0","0","0","0","0","0"
"Sub-Saharan Africa (excluding high income)","SSA","2000","0","0","0","0","0","0","0","0","0","0","61.769894937004","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Slovenia","SVN","2006","0","0","24.4","22.7","20.3","34.4","4.1","10","14.7","18.2","0","0","0","0.1","0","0","0","0.2","11.5","0","0","0","0","0","0"
"South Africa","ZAF","2014","-1.34","-1.23","63","16.5","50.5","68.2","0.9","2.4","4.8","8.2","23","6.2","15.2","29.2","0","18.9","37.6","57.1","55.5","0","0","1.99","11.11","0","0"
"Azerbaijan","AZE","1995","0","0","34.7","22.5","26.8","42","2.7","7.1","12","16.4","0","2.2","8","23.7","0","7.3","26.3","62.5","0","0","0","0","0","0","0"
"Azerbaijan","AZE","2003","0","0","18.8","22.2","18","31","5.4","12.2","15.9","18.7","0","0","0","2","0","0","0.5","13.7","0","0","0","0","0","0","0"
"Congo, Rep.","COG","2005","0","0","47.3","20.4","36.9","53.3","2","4.9","8.6","12.9","53.4","20.9","38.5","57","0","51.6","74.2","88.8","0","0","0","0","0","0","0"
"Czech Republic","CZE","2006","0","0","26.7","21.9","22.6","36.5","3.7","9.3","14.5","17.8","0","0","0","0.1","0","0","0.2","0.7","9.6","0","0","0","0","0","0"
"East Asia & Pacific (excluding high income)","EAP","2014","0","0","0","0","0","0","0","0","0","0","25.7899238792442","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greece","GRC","2011","0","0","34.8","23.3","25.6","41","2","6.1","12.2","17.3","0","0.8","1.2","2","0","1.2","2","4.7","0","0","0","0","0","0","0"
"High income","HIC","2015","0","0","0","0","0","0","0","0","0","0","0","0.5","0.6","1","0","0.7","1","2","0","0","0","0","0","0","0"
"Iran, Islamic Rep.","IRN","2006","0","0","44.8","21.4","34","50.6","2","5","9.1","13.8","0","0.1","0.7","3.9","0","0.4","3.2","14.6","0","0","0","0","0","0","0"
"Myanmar","MMR","2014","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peru","PER","2011","0","0","44.9","22","33.7","49.7","1.5","4.4","9.3","14.7","0","1.4","4.6","11.6","7.8","5.2","13.3","29.4","27.8","18.7","56.1","4.11","12.04","4","18"
"Philippines","PHL","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.8","0","0","0","26.6","0","0","0","0","0","12.6"
"Russian Federation","RUS","2007","0","0","42.3","21.2","32.8","48.9","2.3","5.8","9.9","14.2","0","0","0.2","1.9","1.3","0.1","1.3","8.3","13.3","0","0","0","0","0","0"
