"Country Name","Country Code","Year","Adequacy of social insurance programs (% of total welfare of beneficiary households)","Adequacy of social protection and labor programs (% of total welfare of beneficiary households)","Adequacy of social safety net programs (% of total welfare of beneficiary households)","Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)","Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)","Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)","Children in employment, wage workers (% of children in employment, ages 7-14)","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Coverage of social insurance programs (% of population)","Coverage of social insurance programs in 2nd quintile (% of population)","Coverage of social insurance programs in 3rd quintile (% of population)","Coverage of social insurance programs in 4th quintile (% of population)","Coverage of social insurance programs in poorest quintile (% of population)","Coverage of social insurance programs in richest quintile (% of population)","Coverage of social protection and labor programs (% of population)","Coverage of social safety net programs (% of population)","Coverage of social safety net programs in 2nd quintile (% of population)","Coverage of social safety net programs in 3rd quintile (% of population)","Coverage of social safety net programs in 4th quintile (% of population)","Coverage of social safety net programs in poorest quintile (% of population)","Coverage of social safety net programs in richest quintile (% of population)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate for ages 15-24, male (%) (national estimate)","Labor force participation rate for ages 15-24, total (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)","Labor force participation rate, male (% of male population ages 15+) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)","Ratio of female to male labor force participation rate (%) (national estimate)","Share of youth not in education, employment or training, female (% of female youth population)","Share of youth not in education, employment or training, male (% of male youth population)","Share of youth not in education, employment or training, total (% of youth population)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
"New Caledonia","NCL","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.45499992370605","51.25","64.3899993896484","57.939998626709","0","0","0","61.2599983215332","73.2099990844727","67.3399963378906","45.624554737592","117908","0","0","83.6770920470152","0","0","0","16.3400001525879","13.0909996032715","12.0500001907349","13.9700002670288","13.9700002670288","0","34.9570007324219","0","36.1959991455078","0"
"Netherlands","NLD","2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.00999999046326","54.331600189209","70.7294006347656","62.4248008728027","73.0770034790039","74.0400009155273","73.5667037963867","56.4748001098633","73.244499206543","64.7516021728516","44.0981205017906","8482264","26.7399997711182","44.2099990844727","77.1044934727581","5.42999982833862","4.15999984741211","4.78000020980835","0","3.42700004577637","0","3.58999991416931","0","6.48890018463135","6.66300010681152","6.67530012130737","6.58500003814697","6.58430004119873"
"Panama","PAN","1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.91100001335144","35.9000015258789","72.6600036621094","54.0400009155273","36.689998626709","64.5","50.6699981689453","43.2099990844727","79.7300033569336","61.2400016784668","35.1389075249284","1259507","0","0","54.1954060769709","0","0","0","16.9300003051758","8.9060001373291","8.86999988555908","11.75","11.75","0","21.2089996337891","0","27.2150001525879","0"
"Philippines","PHL","2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.4990005493164","46.189998626709","72.0999984741211","59.1300010681152","38.25","58.6500015258789","49.0800018310547","51.7000007629395","80.8099975585938","66.2300033569336","38.0217775646528","31501594","0","0","63.9772334177498","0","0","0","12","3.46000003814697","11.1999998092651","3.65700006484985","11.5100002288818","30.3299999237061","7.82000017166138","22.5699996948242","9.3769998550415","25.4099998474121"
"Poland","POL","2008","68.4116098346293","54.6528806985701","8.76774396975065","8.78499914373756","11.6379233405567","37.0101046059713","0","0","0","46.4393517232493","47.8292487018971","48.7737096957994","48.6272062738561","43.2043775773104","43.7619782122171","71.090456141968","43.2923353549888","49.2938219227373","40.3133644792023","35.2005699288126","62.0058626847292","29.649556136561","13.826000213623","42.9044990539551","58.6430015563965","50.3620986938477","29.5687999725342","36.5220985412598","33.0685997009277","46.6100006103516","62.6729011535645","54.2212982177734","44.7251370463568","17565954","11.1300001144409","16.2800006866455","74.3702617119084","10.8199996948242","7.28999996185303","9.03999996185303","7.95009994506836","6.43900012969971","6.43009996414185","7.11999988555908","0","19.8586006164551","15.1560001373291","15.2454996109009","17.1809997558594","17.2942008972168"
"Korea, Dem. People’s Rep.","PRK","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.4059982299805","0","0","0","0","0","0","0","0","0","47.771648841491","16282869","0","0","0","0","0","0","0","5.53000020980835","0","4.77600002288818","0","0","13.1389999389648","0","11.6669998168945","0"
"Portugal","PRT","1975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.19999980926514","0","4.09999990463257","0","4.5","0","0","0","0","0"
"Portugal","PRT","1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.8830032348632","138.708999633789","112.265998840332","106.084602355957","127.5362014770508","116.831802368164","95.038200378418","143.3999938964844","117.734001159668","84.7992355833594","9519416","15.80000019073486","23.8799991607666","132.5497969644586","0","0","0","12.95300006866456","0","6.54239988327026","0","9.28880023956298","26.6287994384766","0","15.80879974365234","0","20.7113990783692"
"Saudi Arabia","SAU","2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.421999990940094","0","0","0","0","0","0","0","0","0","14.6215289802783","7978167","0","0","0","0","0","0","14.0711002349854","4.65000009536743","4.6023998260498","6.05000019073486","6.05089998245239","0","26.8229999542236","0","29.2150001525879","0"
"Senegal","SEN","2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.0690002441406","0","0","0","0","0","0","0","0","0","34.740191866177","3247993","0","0","0","0","0","0","0","7.24700021743774","0","8.94900035858154","0","0","10.7690000534058","0","13.1929998397827","0"
"South Sudan","SSD","1994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.4080009460449","0","0","0","0","0","0","0","0","0","48.4728866930717","2244267","0","0","0","0","0","0","0","10.9530000686646","0","11.7609996795654","0","0","19.5149993896484","0","17.798999786377","0"
"Slovenia","SVN","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.92199993133545","0","0","0","0","0","0","0","0","0","46.3884312219831","938941","0","0","0","0","0","0","10.8000001907349","8.63300037384033","12.1000003814697","7.43800020217896","11.5","0","27.2259998321533","0","24.0139999389648","0"
"Togo","TGO","1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.3050003051758","0","0","0","0","0","0","0","0","29.5499992370605","50.3935798396378","2115835","0","0","0","0","0","0","0","2.21099996566772","0","1.89499998092651","0","0","3.35800004005432","0","2.73799991607666","0"
"Thailand","THA","1993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.5400009155273","0","0","0","0","0","0","0","0","0","44.8900414536289","31316438","0","0","0","0","0","0","1.82000005245209","1.53199994564056","1.21000003814697","1.50999999046326","1.49000000953674","0","4.1230001449585","0","4.09200000762939","0"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.9900076165534","40.0056510875616","74.7706001109491","56.6809699416683","42.1696078455945","70.3522005671145","56.2055334892286","44.6302267925169","81.1467862109235","62.2315591607855","36.0259469211909","189885495","0","0","55.3519993672761","0","0","0","10.2005528128078","6.63057054285778","6.85802682820023","7.65934512048826","8.19450070971525","0","12.5500000779357","0","14.6011711553907","0"
"Middle East & North Africa (IDA & IBRD countries)","TMN","1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.1007175753188","0","0","0","0","0","0","0","0","0","17.8192299656355","61502449","0","0","0","0","0","0","21.5917508009068","11.3737421804197","10.7615187491549","12.8297032388052","12.7222523105306","0","23.4418784602621","0","25.8924965025073","0"
"World","WLD","1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.0417091606914","0","0","0","0","0","0","0","0","0","39.358434198311","2413408965","0","0","0","0","0","0","0","5.33674172123498","0","5.55915896575708","0","0","11.421938728619","0","11.6864360204645","0"
